ID,NAMA,KETERANGAN
A4689E6D5CA78920E050640A29032EE8,MELAKUKAN KEGIATAN BEPERGIAN KE LUAR DAERAH DAN/ATAU KEGIATAN MUDIK TMT 30 MARET 2020 ATAU PADA SAAT DITERBITKANNYA SE MENPAN RB NOMOR 36 TAHUN 2020 SESUAI DENGAN SE BKN NO 11/SE/IV/2020 (KATEGORI I),LARANGAN
A4689E6D5CA88920E050640A29032EE8,MELAKUKAN KEGIATAN BEPERGIAN KE LUAR DAERAH DAN/ATAU KEGIATAN MUDIK TMT 6 APRIL 2020 ATAU PADA SAAT DITERBITKANNYA SE MENPAN RB NOMOR 41 TAHUN 2020 SESUAI DENGAN SE BKN NO 11/SE/IV/2020 (KATEGORI II),LARANGAN
A4689E6D5CA98920E050640A29032EE8,MELAKUKAN KEGIATAN BEPERGIAN KE LUAR DAERAH DAN/ATAU KEGIATAN MUDIK TMT 9 APRIL 2020 ATAU PADA SAAT DITERBITKANNYA SE MENPAN RB NOMOR 46 TAHUN 2020 SESUAI DENGAN SE BKN NO 11/SE/IV/2020 (KATEGORI III),LARANGAN
11EC54D9B39457B1E050640A15026590,TIDAK MENGUCAPKAN SUMPAH/JANJI PNS,KEWAJIBAN
11EC54D9B39557B1E050640A15026590,TIDAK MENGUCAPKAN SUMPAH/JANJI JABATAN,KEWAJIBAN
11EC54D9B39657B1E050640A15026590,"TIDAK SETIA DAN TAAT SEPENUHNYA KEPADA PANCASILA, UNDANG-UNDANG DASAR NEGARA REPUPLIK INDONESIA TAHUN 1945, NEGARA KESATUAN REPUBLIK INDONESIA, DAN PEMERINTAH",KEWAJIBAN
11EC54D9B39757B1E050640A15026590,TIDAK MENAATI SEGALA KETENTUAN PERATURAN PERUNDANGUNDANGAN,KEWAJIBAN
11EC54D9B39857B1E050640A15026590,"TIDAK MELAKSANAKAN TUGAS KEDINASAN YANG DIPERCAYAKAN KEPADA PNS DENGAN PENUH PENGABDIAN, KESADARAN, DAN TANGGUNG JAWAB",KEWAJIBAN
11EC54D9B39957B1E050640A15026590,"TIDAK MENJUNJUNG TINGGI KEHORMATAN NEGARA, PEMERINTAH, DAN MARTABAT PNS",KEWAJIBAN
11EC54D9B39A57B1E050640A15026590,"TIDAK MENGUTAMAKAN KEPENTINGAN NEGARA DARIPADA KEPENTINGAN SENDIRI, SESEORANG,DAN/ATAU GOLONGAN",KEWAJIBAN
11EC54D9B39B57B1E050640A15026590,TIDAK MEMEGANG RAHASIA JABATAN YANG MENURUT SIFATNYA ATAU MENURUT PERINTAH HARUS DIRAHASIAKAN,KEWAJIBAN
11EC54D9B39C57B1E050640A15026590,"TIDAK BEKERJA DENGAN JUJUR, TERTIB, CERMAT, DAN BERSEMANGAT UNTUK KEPENTINGAN NEGARA",KEWAJIBAN
11EC54D9B39D57B1E050640A15026590,"TIDAK MELAPORKAN DENGAN SEGERA KEPADA ATASANNYA APABILA MENGETAHUI ADA HAL YANG DAPAT MEMBAHAYAKAN ATAU MERUGIKAN NEGARA ATAU PEMERINTAH TERUTAMA DI BIDANG KEAMANAN, KEUANGAN, DAN MATERIIL",KEWAJIBAN
11EC54D9B39E57B1E050640A15026590,TIDAK MASUK KERJA DAN MENAATI KETENTUAN JAM KERJA,KEWAJIBAN
11EC54D9B39F57B1E050640A15026590,TIDAK MENCAPAI SASARAN KERJA PEGAWAI YANG DITETAPKAN,KEWAJIBAN
11EC54D9B3A057B1E050640A15026590,TIDAK MENGGUNAKAN DAN MEMELIHARA BARANG-BARANG MILIK NEGARA DENGAN SEBAIK-BAIKNYA,KEWAJIBAN
11EC54D9B3A157B1E050640A15026590,TIDAK MEMBERIKAN PELAYANAN SEBAIK-BAIKNYA KEPADA MASYARAKAT,KEWAJIBAN
11EC54D9B3A257B1E050640A15026590,TIDAK MEMBIMBING BAWAHAN DALAM MELAKSANAKAN TUGAS,KEWAJIBAN
11EC54D9B3A357B1E050640A15026590,TIDAK MEMBERIKAN KESEMPATAN KEPADA BAWAHAN UNTUK MENGEMBANGKAN KARIER DAN;,KEWAJIBAN
11EC54D9B3A457B1E050640A15026590,TIDAK MENAATI PERATURAN KEDINASAN YANG DITETAPKAN OLEH PEJABAT YANG BERWENANG.,KEWAJIBAN
11EC54D9B3A557B1E050640A15026590,MENYALAHGUNAKAN WEWENANG,LARANGAN
11EC54D9B3A657B1E050640A15026590,MENJADI PERANTARA UNTUK MENDAPATKAN KEUNTUNGAN PRIBADI DAN/ ATAU ORANG LAIN DENGAN MENGGUNAKAN KEWENANGAN ORANG LAIN,LARANGAN
11EC54D9B3A757B1E050640A15026590,TANPA IZIN PEMERINTAH MENJADI PEGAWAI ATAU BEKERJA UNTUK NEGARA LAIN DAN/ ATAU LEMBAGA ATAU ORGANISASI INTERNASIONAL,LARANGAN
11EC54D9B3A857B1E050640A15026590,"BEKERJA PADA PERUSAHAAN ASING, KONSULTAN ASING, ATAU LEMBAGA SWADAYA MASYARAKAT ASING",LARANGAN
11EC54D9B3A957B1E050640A15026590,"MEMILIKI, MENJUAL, MEMBELI, MENGGADAIKAN, MENYEWAKAN, ATAU MEMINJAMKAN BARANG-BARANG BAIK BERGERAK ATAU TIDAK BERGERAK, DOKUMEN ATAU SURAT BERHARGA MILIK NEGARA SECARA TIDAK SAH",LARANGAN
11EC54D9B3AA57B1E050640A15026590,"MELAKUKAN KEGIATAN BERSAMA DENGAN ATASAN, TEMAN SEJAWAT, BAWAHAN, ATAU ORANG LAIN DI DALAM MAUPUN DI LUAR LINGKUNGAN KERJANYA DENGAN TUJUAN UNTUK KEUNTUNGAN PRIBADI, GOLONGAN, ATAU PIHAK LAIN, YANG SECARA LANGSUNG ATAU TIDAK LANGSUNG MERUGIKAN NEGARA.",LARANGAN
11EC54D9B3AB57B1E050640A15026590,MEMBERI ATAU MENYANGGUPI AKAN MEMBERI SESUATU KEPADA SIAPAPUN BAIK SECARA LANGSUNG ATAU TIDAK LANGSUNG DAN DENGAN DALIH APAPUN UNTUK DIANGKAT DALAM JABATAN,LARANGAN
11EC54D9B3AC57B1E050640A15026590,MENERIMA HADIAH ATAU SESUATU PEMBERIAN APA SAJA DARI SIAPAPUN JUGA YANG BERHUBUNGAN DENGAN JABATAN DAN/ ATAU PEKERJAANNYA,LARANGAN
11EC54D9B3AD57B1E050640A15026590,BERTINDAK SEWENANG-WENANG TERHADAP BAWAHANNYA,LARANGAN
11EC54D9B3AE57B1E050640A15026590,MELAKUKAN SUATU TINDAKAN ATAU TIDAK MELAKUKAN SUATU TINDAKAN YANG DAPAT MENGHALANGI ATAU MEMPERSULIT SALAH SATU PIHAK YANG DILAYANI SEHINGGA MENGAKIBATKAN KERUGIAN BAGI YANG DILAYANI,LARANGAN
11EC54D9B3AF57B1E050640A15026590,MENGHALANGI BERJALANNYA TUGAS KEDINASAN,LARANGAN
11EC54D9B3B057B1E050640A15026590,IKUT SERTA SEBAGAI PELAKSANA KAMPANYE,LARANGAN
11EC54D9B3B157B1E050640A15026590,MENJADI PESERTA KAMPANYE DENGAN MENGGUNAKAN ATRIBUT PARTAI ATAU ATRIBUT PNS,LARANGAN
11EC54D9B3B257B1E050640A15026590,SEBAGAI PESERTA KAMPANYE DENGAN MENGERAHKAN PNS LAIN; DAN/ATAU,LARANGAN
11EC54D9B3B357B1E050640A15026590,SEBAGAI PESERTA KAMPANYE DENGAN MENGGUNAKAN FASILITAS NEGARA.,LARANGAN
11EC54D9B3B457B1E050640A15026590,MEMBUAT KEPUTUSAN DAN/ATAU TINDAKAN YANG MENGUNTUNGKAN ATAU MERUGIKAN SALAH SATU PASANGAN CALON SELAMA MASA KAMPANYE,LARANGAN
11EC54D9B3B557B1E050640A15026590,"MENGADAKAN KEGIATAN YANG MENGARAH KEPADA KEPERPIHAKAN TERHADAP PASANGAN CALON YANG MENJADI PESERTA PEMILU SEBELUM, SELAMA, DAN SESUDAH MASA KAMPANYE MELIPUTI PERTEMUAN, AJAKAN, HIMBAUAN, SERUAN, ATAU PEMBERIAN BARANG KEPADA PNS DALAM LINGKUNGAN UNIT KERJANYA, ANGGOTA KELUARGA, DAN MASYARAKAT",LARANGAN
11EC54D9B3B657B1E050640A15026590,MEMBERIKAN DUKUNGAN KEPADA CALON ANGGOTA DEWAN PERWAKILAN DAERAH ATAU CALON KEPALA DAERAH/WAKIL KEPALA DAERAH DENGAN CARA MEMBERIKAN SURAT DUKUNGAN DISERTAI FOTO KOPI KARTU TANDA PENDUDUK ATAU SURAT KETERANGAN TANDA PENDUDUK SESUAI PERATURAN PERUNDANGUNDANGAN,LARANGAN
11EC54D9B3B757B1E050640A15026590,TERLIBAT DALAM KEGIATAN KAMPANYE UNTUK MENDUKUNG CALON KEPALA DAERAH/WAKIL KEPALA DAERAH,LARANGAN
11EC54D9B3B857B1E050640A15026590,MENGGUNAKAN FASILITAS YANG TERKAIT DENGAN JABATAN DALAM KEGIATAN KAMPANYE,LARANGAN
11EC54D9B3B957B1E050640A15026590,MEMBUAT KEPUTUSAN DAN/ATAU TINDAKAN YANG MENGUNTUNGKAN ATAU MERUGIKAN SALAH SATU PASANGAN CALON SELAMA MASA KAMPANYE,LARANGAN
11EC54D9B3BA57B1E050640A15026590,"MENGADAKAN KEGIATAN YANG MENGARAH KEPADA KEPERPIHAKAN TERHADAP PASANGAN CALON YANG MENJADI PESERTA PEMILU SEBELUM, SELAMA, DAN SESUDAH MASA KAMPANYE MELIPUTI PERTEMUAN, AJAKAN, HIMBAUAN, SERUAN, ATAU PEMBERIAN BARANG KEPADA PNS DALAM LINGKUNGAN UNIT KERJA LINGKUNGAN UNIT KERJANYA, ANGGOTA KELUARGA, DAN MASYARAKAT.",LARANGAN
C7730BC4BB20B892E050640AF2084D0C,MELAKUKAN TINDAK PIDANA,LARANGAN
C7730BC4BB21B892E050640AF2084D0C,MENGGUNAKAN ATAU MENGEDARKAN NARKOBA,
