 ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
ID,NAMA,,META DATA,,,,
01,Aktif,,Name,Null?,Type,Parameter,Keterangan
02,CLTN,,ID,NOT NULL,VARCHAR2(2),,ID yang otomatis ter-generate saat data dibuat
03,Tugas Belajar,,NAMA,NOT NULL,VARCHAR2(50),,Nama Kedudukan Hukum
04,Pemberhentian Sementara,,,,,,
05,Penerima Uang Tunggu,,,,,,
06,Prajurit Wajib,,,,,,
07,Pejabat Negara,,,,,,
08,Kepala Desa,,,,,,
09,Sedang dlm Proses Banding BAPEK,,,,,,
11,Pegawai Titipan,,,,,,
12,Pengungsi,,,,,,
13,Perpanjangan CLTN,,,,,,
14,PNS yang dinyatakan hilang,,,,,,
15,PNS kena hukuman disiplin,,,,,,
16,Pemindahan dalam rangka penurunan Jabatan,,,,,,
20,Masa Persiapan Pensiun,,,,,,
51,CPNS yang belum menerima SK CPNS,,,,,,
52,Tidak Aktif,,,,,,
66,Diberhentikan,,,,,,
67,Punah,,,,,,
68,Eks PNS Timor Timur,,,,,,
69,TMS Dari Pengadaan,,,,,,
70,Pembatalan NIP,,,,,,
77,Pemberhentian tanpa hak pensiun,,,,,,
88,Pemberhentian dengan hak pensiun,,,,,,
89,Tidak aktif tetapi diusulkan Pensiun,,,,,,
90,Tidak Ikut PUPNS 2015,,,,,,
91,Tindak Pidana/ Tindak Pidana Jabatan,,,,,,
92,Pemblokiran Data PNS,,,,,,
98,Mencapai BUP,,,,,,
99,Pensiun,,,,,,
