id,nama
10,TRANSMIGRASI
85,KETAHANAN NASIONAL
11,PERINDUSTRIAN
14,KEHUTANAN
15,PERTANIAN
17,KELAUTAN DAN PERIKANAN
18,KEARSIPAN
19,PERPUSTAKAAN
22,STATISTIK
23,KEPEMUDAAN DAN OLAHRAGA
26,KOMUNIKASI DAN INFORMATIKA
27,PERHUBUNGAN
32,PERTANAHAN
33,PANGAN
34,PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK
36,SOSIAL
38,PERUMAHAN RAKYAT DAN KAWASAN PEMUKIMAN
40,KESEHATAN
67,KOPERASI
68,HUKUM
69,PEMBINAAN BADAN USAHA MILIK NEGARA/DAERAH
71,DALAM NEGERI
72,LUAR NEGERI
73,KEUANGAN
74,ENERGI DAN SUMBER DAYA MINERAL
76,HAK ASASI MANUSIA
78,USAHA KECIL DAN MENENGAH
80,PENUNTUTAN
81,INTELIJEN
83,PERADILAN UMUM
86,PERENCANAAN PEMBANGUNAN NASIONAL
87,INFORMASI GEOSPASIAL
89,"STANDARISASI INDUSTRI, TEKNOLOGI DAN PELAYANAN PUBLIK"
90,PENGAWASAN PEMANFAATAN TENAGA NUKLIR
92,KEAMANAN
94,PEMBERANTASAN DAN PENCEGAHAN PENYALAHGUNAAN NARKOTIKA
95,PEMILIHAN UMUM
97,PERADILAN KONSTITUSI
98,PENANGANAN TINDAK PIDANA KORUPSI
99,PENGAWASAN PERILAKU HAKIM
63,"FISIKA, KIMIA DAN YANG BERKAITAN"
12,PERDAGANGAN
16,PARIWISATA
20,KEBUDAYAAN
24,PENANAMAN MODAL
31,LINGKUNGAN HIDUP
35,TENAGA KERJA
39,PEKERJAAN UMUM DAN PENATAAN RUANG
41,PENDIDIKAN
28,PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA
70,APARATUR NEGARA/KEPEGAWAIAN
75,KEAGAMAAN
77,IMIGRASI DAN PEMASYARAKATAN
82,KESEKRETARIATAN LEMBAGA LEGISLATIF
84,PEMERIKSA PENGELOLAAN DAN TANGGUNG JAWAB KEUANGAN NEGARA
100,PATROLI KEAMANAN LAUT
101,PENGADAAN BARANG/JASA PEMERINTAH
102,PENCEGAHAN DAN PEMBERANTASAN TINDAK PIDANA PENCUCIAN UANG
104,PENYIARAN PUBLIK
105,PENANGGULANGAN TERORISME
107,PENELITIAN DAN INOVASI
79,KESEKRETARIATAN NEGARA
103,PENGAWASAN PENYELENGGARAAN PELAYANAN PUBLIK
109,PERTAHANAN
21,KEAMANAN SIBER DAN PERSANDIAN
88,PENGAWASAN KEUANGAN NEGARA
91,PENGAWASAN OBAT DAN MAKANAN
93,"METEOROLOGI, KLIMATOLOGI DAN GEOFISIKA"
96,PENANGANAN BENCANA
29,PEMBANGUNAN DESA DAN DAERAH TERTINGGAL
46,MANAJEMEN
200,TEKNISI DAN PENGONTROL KAPAL DAN PESAWAT
44,KEKOMPUTERAN
45,PENGAWAS KUALITAS DAN KEAMANAN
47,"HAK CIPTA, PATEN, DAN MEREK"
48,HUKUM DAN PERADILAN
49,ILMU SOSIAL DAN YANG BERKAITAN
66,KESEHATAN DAN/ATAU ILMU SOSIAL
64,PENELITIAN DAN PEREKAYASAAN
62,"MATEMATIKA, STATISTIKA, DAN YANG BERKAITAN"
61,"ARSIPARIS, PUSTAKAWAN, DAN YANG BERKAITAN "
60,KEAGAMAAN DAN PENDIDIKAN
59,KEAGAMAAN
58,TENAGA KEPENDIDIKAN LAINNYA
57,PENERANGAN DAN SENI BUDAYA
56,PENDIDIKAN LAINNYA
55,"PENDIDIKAN TINGKAT TAMAN KANAK-KANAK, DASAR, LANJUTAN, DAN SEKOLAH KHUSUS"
54,"ARSITEK, INSINYUR DAN YANG BERKAITAN"
53,PROFESIONAL BIDANG PENDIDIKAN LAINNYA
52,AKUNTAN DAN ANGGARAN
51,ASISTEN PROFESIONAL YANG BERHUBUNGAN DENGAN KEUANGAN DAN PENJUALAN
50,"IMIGRASI, PAJAK, DAN ASISTEN PROFESIONAL YANG BERKAITAN "
43,POLITIK DAN HUBUNGAN LUAR NEGERI
65,PENYIDIK DAN DETEKTIF
201,PENDIDIKAN TINGKAT PENDIDIKAN TINGGI
202,OPERATOR ALAT-ALAT OPTIK DAN ELEKTRONIK
203,ILMU HAYAT
