f,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
ID,KTUA_ID,NAMA,,META DATA,,,,
0,A5EB03E21EF0F6A0E040640A040252AD,Kantor Pusat,,Name,Null?,Type,Parameter,Keterangan
1,A5EB03E21EF4F6A0E040640A040252AD,Malang,,ID,NOT NULL,VARCHAR2(3),,ID dati KTUA_ID
5,A5EB03E21EF1F6A0E040640A040252AD,Bekasi,,KTUA_ID,NOT NULL,VARCHAR2(32),,ID dari KTUA
6,A5EB03E21EF1F6A0E040640A040252AD,Depok,,NAMA,NOT NULL,VARCHAR2(30),,Nama KTUA TASPEN
100,A5EB03E21EF0F6A0E040640A040252AD,Jakarta,,,,,,
101,A5EB03E21EEFF6A0E040640A040252AD,Bandar Lampung,,,,,,
102,A5EB03E21EEEF6A0E040640A040252AD,Bengkulu,,,,,,
103,A5EB03E21EEDF6A0E040640A040252AD,Palembang,,,,,,
104,A5EB03E21EF6F6A0E040640A040252AD,Palangkaraya,,,,,,
105,A5EB03E21EF5F6A0E040640A040252AD,Pontianak,,,,,,
106,A5EB03E21F02F6A0E040640A040252AD,Pangkal Pinang,,,,,,
107,ff8080813196bb4c0131999452280b5b,Tangerang,,,,,,
108,A5EB03E21EF1F6A0E040640A040252AD,Tangerang Selatan,,,,,,
111,A5EB03E21EF0F6A0E040640A040252AD,.,,,,,,
200,A5EB03E21EE9F6A0E040640A040252AD,Medan,,,,,,
201,A5EB03E21EE8F6A0E040640A040252AD,Banda Aceh,,,,,,
202,A5EB03E21EEDF6A0E040640A040252AD,Lubuk Linggau,,,,,,
203,A5EB03E21EEAF6A0E040640A040252AD,Bukittinggi,,,,,,
204,A5EB03E21EEAF6A0E040640A040252AD,Padang,,,,,,
205,A5EB03E21EEBF6A0E040640A040252AD,Pekanbaru,,,,,,
206,A5EB03E21EECF6A0E040640A040252AD,Jambi,,,,,,
207,ff80808134f5f9b30134fa16928d52f5,Tanjung Pinang,,,,,,
208,A5EB03E21EE9F6A0E040640A040252AD,Pematang Siantar,,,,,,
300,A5EB03E21EF1F6A0E040640A040252AD,Bandung,,,,,,
301,A5EB03E21EF1F6A0E040640A040252AD,Bogor,,,,,,
302,A5EB03E21EF1F6A0E040640A040252AD,Tasikmalaya,,,,,,
303,A5EB03E21EF1F6A0E040640A040252AD,Cirebon,,,,,,
304,A5EB03E21EF1F6A0E040640A040252AD,Serang,,,,,,
400,A5EB03E21EF3F6A0E040640A040252AD,Semarang,,,,,,
401,A5EB03E21EF3F6A0E040640A040252AD,Purwokerto,,,,,,
402,A5EB03E21EF3F6A0E040640A040252AD,Surakarta,,,,,,
403,A5EB03E21EF2F6A0E040640A040252AD,Yogyakarta,,,,,,
404,A5EB03E21EF3F6A0E040640A040252AD,Pekalongan,,,,,,
500,A5EB03E21EF4F6A0E040640A040252AD,Surabaya,,,,,,
501,A5EB03E21EF4F6A0E040640A040252AD,Malang,,,,,,
502,A5EB03E21EF4F6A0E040640A040252AD,Madiun,,,,,,
503,A5EB03E21EF4F6A0E040640A040252AD,Kediri,,,,,,
504,A5EB03E21EF7F6A0E040640A040252AD,Banjarmasin,,,,,,
505,A5EB03E21EF8F6A0E040640A040252AD,Samarinda,,,,,,
60,A5EB03E21EFBF6A0E040640A040252AD,Mamuju (lama),,,,,,
600,A5EB03E21EFBF6A0E040640A040252AD,Makassar,,,,,,
601,A5EB03E21EF9F6A0E040640A040252AD,Manado,,,,,,
602,A5EB03E21EFAF6A0E040640A040252AD,Palu,,,,,,
603,A5EB03E21EFCF6A0E040640A040252AD,Kendari,,,,,,
604,A5EB03E21F00F6A0E040640A040252AD,Ambon,,,,,,
605,A5EB03E21F01F6A0E040640A040252AD,Jayapura,,,,,,
606,A5EB03E21EE8F6A0E040640A040252AD,Gorontalo,,,,,,
607,A5EB03E21EE8F6A0E040640A040252AD,Ternate,,,,,,
608,A5EB03E21EFBF6A0E040640A040252AD,Mamuju,,,,,,
609,A5EB03E21F01F6A0E040640A040252AD,Manokwari,,,,,,
610,A5EB03E21EFBF6A0E040640A040252AD,Kolaka,,,,,,
611,A5EB03E21EFBF6A0E040640A040252AD,Bone,,,,,,
612,A5EB03E21EFBF6A0E040640A040252AD,Palopo,,,,,,
700,A5EB03E21EFDF6A0E040640A040252AD,Denpasar,,,,,,
701,A5EB03E21EFFF6A0E040640A040252AD,Kupang,,,,,,
703,A5EB03E21EFEF6A0E040640A040252AD,Mataram,,,,,,
704,A5EB03E21EF4F6A0E040640A040252AD,Jember,,,,,,
705,A5EB03E21EE8F6A0E040640A040252AD,PT ASABRI,,,,,,
706,ff8080813ef4d8b6013ef99ec862000d,Sorong,,,,,,
707,A5EB03E21EF7F6A0E040640A040252AD,Tarakan,,,,,,
708,A5EB03E21EE8F6A0E040640A040252AD,Lhokseumawe,,,,,,
709,ff80808154dda4bf0154e0a0b6867f05,Ende,,,,,,
710,A5EB03E21EEAF6A0E040640A040252AD,Lubuk Linggau,,,,,,
711,A5EB03E21EE9F6A0E040640A040252AD,Kepulauan Nias,,,,,,
999,A5EB03E21EE8F6A0E040640A040252AD,Semua Kancab,,,,,,
